46753,bhoomika,29/02/2000,30000,5000,family pension,14000,8217210930,PAN123,bhoomi,password,22003344558899,HDFC,Public bank
76548,shravya,01/01/1988,30000,5000,self pension,14000,7093477738,PAN123,shuuu,password,22003344558899,ICIC,Private bank
98765,harsh,02/01/1998,30000,5000,family pension,14000,97701876558,PAN123,harsh,password,22003344558899,Karnataka,Public bank
37655,akash,03/01/1998,30000,5000,self pension,14000,636342620,PAN123,akash,password,22003344558899,Axis,Public bank
24876,asif,04/01/1997,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,Citi,Public bank
92876,charan,03/08/1999,30000,5000,self pension,14000,9620174395,PAN123,ncsmart,password,22003344558899,HDFC,Private bank
28962,pooja,14/05/2000,30000,5000,self pension,14000,9620174395,PAN123,prince,password,22003344558899,HDFC,Private bank
08107,hari,07/06/1997,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,ICIC,Public bank
98173,krishna,04/01/1997,30000,5000,self pension,14000,1234567891,PAN123,user,password,22003344558899,Karnataka,Public bank
89654,govinda,05/01/1998,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,Axis,Private bank
98698,shiva,06/01/1999,30000,5000,self pension,14000,1234567891,PAN123,user,password,22003344558899,ICIC,Public bank
19634,lakshmi,07/01/1997,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,HDFC,Private bank
10948,bhavana,08/01/1999,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,Karnataka,Public bank
18763,jahnavi,09/01/1998,30000,5000,self pension,14000,1234567891,PAN123,user,password,22003344558899,Axis,Public bank
94654,devika,10/01/1997,30000,5000,self pension,14000,1234567891,PAN123,user,password,22003344558899,Karnataka,Public bank
92874,divya,11/01/1999,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,HDFC,Private bank
09876,moulya,12/01/2000,30000,5000,self pension,14000,1234567891,PAN123,user,password,22003344558899,Axis,Public bank
14678,bhargavi,13/01/1999,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,Karnataka,Private bank
87236,harshita,14/01/1998,30000,5000,family pension,14000,1234567891,PAN123,user,password,22003344558899,HDFC,Private bank
27565,madhura,15/01/1997,30000,5000,self pension,14000,1234567891,PAN123,user,password,22003344558899,ICIC,Public bank

